Time, CommittedHeap, InitialHeap, MaxHeap, UsedHeap, threadCount, peakThreadCount, DeamonThreadCount, CurrentThreadCount, CurrentThreadsBusy, MaxThreads, ConnectorAcceptCount, ConnectorMaxThreads, ConnectorMinSpareThreads
10:16:31, 1047003136, 1073741824, 1483866112, 519489040, 44, 49, 42, 25, 1, 150, 100, 150, 25,
10:16:54, 1047003136, 1073741824, 1483866112, 521550288, 45, 49, 43, 25, 1, 150, 100, 150, 25,
10:17:17, 1047003136, 1073741824, 1483866112, 524653032, 46, 49, 44, 25, 1, 150, 100, 150, 25,
10:17:39, 1046544384, 1073741824, 1483866112, 231308864, 47, 49, 45, 25, 1, 150, 100, 150, 25,
10:18:01, 1046544384, 1073741824, 1483866112, 233573320, 48, 49, 46, 25, 1, 150, 100, 150, 25,
10:18:23, 1046544384, 1073741824, 1483866112, 260652448, 49, 49, 47, 25, 3, 150, 100, 150, 25,
10:18:46, 1046544384, 1073741824, 1483866112, 329561608, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:19:08, 1046544384, 1073741824, 1483866112, 400712472, 49, 49, 47, 25, 3, 150, 100, 150, 25,
10:19:31, 1046544384, 1073741824, 1483866112, 488236040, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:19:54, 1014562816, 1073741824, 1483866112, 348589776, 49, 49, 47, 25, 3, 150, 100, 150, 25,
10:20:17, 1014562816, 1073741824, 1483866112, 420610576, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:20:41, 1014562816, 1073741824, 1483866112, 494018464, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:21:04, 1014562816, 1073741824, 1483866112, 565343528, 49, 49, 47, 25, 3, 150, 100, 150, 25,
10:21:28, 1039925248, 1073741824, 1483866112, 440467872, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:21:51, 1039925248, 1073741824, 1483866112, 510603616, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:22:14, 1039925248, 1073741824, 1483866112, 583898664, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:22:37, 1044971520, 1073741824, 1483866112, 429566464, 49, 49, 47, 25, 3, 150, 100, 150, 25,
10:23:00, 1044971520, 1073741824, 1483866112, 506400080, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:23:23, 1044971520, 1073741824, 1483866112, 578916696, 49, 49, 47, 25, 3, 150, 100, 150, 25,
10:23:48, 1044971520, 1073741824, 1483866112, 658444208, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:24:12, 1059520512, 1073741824, 1483866112, 492445048, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:24:35, 1059520512, 1073741824, 1483866112, 584402096, 49, 49, 47, 25, 3, 150, 100, 150, 25,
10:24:58, 1059520512, 1073741824, 1483866112, 657277856, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:25:21, 1065615360, 1073741824, 1483866112, 486258768, 49, 49, 47, 25, 3, 150, 100, 150, 25,
10:25:44, 1065615360, 1073741824, 1483866112, 557570112, 49, 49, 47, 25, 3, 150, 100, 150, 25,
10:26:07, 1065615360, 1073741824, 1483866112, 631079664, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:26:30, 1066598400, 1073741824, 1483866112, 477373896, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:26:54, 1066598400, 1073741824, 1483866112, 553789256, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:27:18, 1066598400, 1073741824, 1483866112, 627570392, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:27:41, 1066926080, 1073741824, 1483866112, 474352104, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:28:04, 1066926080, 1073741824, 1483866112, 545469008, 49, 49, 47, 25, 4, 150, 100, 150, 25,
10:28:27, 1066926080, 1073741824, 1483866112, 619219512, 49, 49, 47, 25, 3, 150, 100, 150, 25,
